,ROC-AUC,PR-AUC,ACCURACY,BALANCED ACCURACY,PRECISION,RECALL,F1 SCORE,MCC
0,0.8596097305930678,0.5064821366183464,0.9710429447852761,0.7406309200230623,0.603448275862069,0.49295774647887325,0.5426356589147286,0.530720455731659
1,0.8346637158317307,0.4968103711906689,0.97079754601227,0.6692298464061767,0.6533333333333333,0.34507042253521125,0.45161290322580644,0.46179845327391866
2,0.8225828400353814,0.42911214359642513,0.9661349693251534,0.6905723688686914,0.5185185185185185,0.39436619718309857,0.44799999999999995,0.4351641356523505
3,0.8365008254459378,0.5053807849085197,0.9734969325153374,0.684204259372661,0.7361111111111112,0.3732394366197183,0.4953271028037384,0.5128339475347586
4,0.8614468402072746,0.5609843509572117,0.9722699386503068,0.7344785724261664,0.6355140186915887,0.4788732394366197,0.5461847389558233,0.5378505063295836
5,0.7947799944850901,0.45447943850550676,0.9725153374233129,0.6972717310729365,0.6785714285714286,0.4014084507042254,0.5044247787610621,0.5092376316828892
6,0.8386593397148719,0.40881306818098273,0.9703067484662576,0.6621875928850499,0.6438356164383562,0.33098591549295775,0.4372093023255814,0.4484910668629583
7,0.8255533710782363,0.5024623868164999,0.9705521472392638,0.7268006718163034,0.6,0.4647887323943662,0.5238095238095237,0.5132896879485538
8,0.8255032355332094,0.4301045912068914,0.9710429447852761,0.6863269625380045,0.6428571428571429,0.38028169014084506,0.47787610619469023,0.48098478482169604
9,0.8276635403573231,0.5051215459285048,0.9666257668711656,0.7553125772176921,0.5208333333333334,0.528169014084507,0.5244755244755244,0.5071957230300155
10,0.8527214648173812,0.4490677023728015,0.969079754601227,0.7294318926526359,0.5677966101694916,0.47183098591549294,0.5153846153846153,0.501840722790176
11,0.8256805004959837,0.5078439765692857,0.9722699386503068,0.7276905777405343,0.6407766990291263,0.4647887323943662,0.5387755102040817,0.5320567629613534
12,0.8014596605823602,0.4093149135643246,0.9693251533742331,0.6820430592709575,0.5955056179775281,0.3732394366197183,0.4588744588744589,0.45682158452784855
13,0.836697786515687,0.49706360639567265,0.9658895705521472,0.7311732075647375,0.5112781954887218,0.4788732394366197,0.49454545454545445,0.47718799534182127
14,0.8616115712837922,0.5571437830841837,0.9720245398773006,0.7479274323796836,0.6206896551724138,0.5070422535211268,0.5581395348837208,0.5468131854722368
15,0.8425869225011906,0.4703597453332531,0.972760736196319,0.707580852519132,0.6741573033707865,0.4225352112676056,0.5194805194805194,0.5209065061046244
16,0.8268461519178636,0.4802959682833921,0.9720245398773006,0.7207754536371548,0.64,0.4507042253521127,0.5289256198347108,0.5233814913559219
17,0.8171055317411717,0.46527529368126375,0.9661349693251534,0.707542355582772,0.5169491525423728,0.4295774647887324,0.46923076923076923,0.45396132390767435
18,0.8619643106541613,0.5123496707947858,0.9717791411042945,0.6968903428196946,0.6551724137931034,0.4014084507042254,0.49781659388646293,0.4996010645402468
19,0.8215640141382237,0.47024532446413003,0.969079754601227,0.7226438979670037,0.5701754385964912,0.45774647887323944,0.5078125,0.4952130616659317
20,0.82643342894898,0.5223943996291023,0.972760736196319,0.734732831261661,0.6476190476190476,0.4788732394366197,0.5506072874493927,0.54340055199311
21,0.8094168878002314,0.4627365346973833,0.97079754601227,0.6929878278058895,0.6292134831460674,0.39436619718309857,0.4848484848484848,0.48428655091789535
22,0.8194260912538541,0.4485965452843352,0.9683435582822086,0.7086865203424975,0.5596330275229358,0.4295774647887324,0.4860557768924303,0.47439590858131603
23,0.8432906106867495,0.4879494394853562,0.9700613496932515,0.7129704236095444,0.5961538461538461,0.43661971830985913,0.5040650406504065,0.49532337406597393
24,0.8103569292694893,0.4093829891646658,0.9695705521472393,0.6685941993174404,0.6125,0.34507042253521125,0.44144144144144143,0.44573361113227133
25,0.7990862796918814,0.450806161910198,0.9676073619631902,0.7218811214605201,0.5416666666666666,0.45774647887323944,0.4961832061068702,0.4813850808103998
26,0.8250305289658112,0.47796067812047044,0.9700613496932515,0.7095764262667282,0.5980392156862745,0.4295774647887324,0.5,0.4920612925305543
27,0.8091393517474027,0.4359728425395498,0.9693251533742331,0.7058010406706703,0.5825242718446602,0.4225352112676056,0.48979591836734687,0.4809063097819245
28,0.8323861296433572,0.5015343700292915,0.972760736196319,0.704186855176316,0.6781609195402298,0.4154929577464789,0.5152838427947598,0.5181156614909838
29,0.8433103067937244,0.4744291169735748,0.9673619631901841,0.7183599946999567,0.5378151260504201,0.4507042253521127,0.4904214559386973,0.4756720067600088
30,0.8354605128866256,0.48364542154495593,0.9695705521472393,0.7296861514881304,0.5775862068965517,0.47183098591549294,0.5193798449612403,0.5065813611207923
31,0.8332724544572291,0.5279695124496452,0.9715337423312883,0.7307031868301085,0.6203703703703703,0.47183098591549294,0.536,0.5268012014813146
32,0.7918434839906461,0.40665736231482474,0.9680981595092024,0.674619417496589,0.5666666666666667,0.3591549295774648,0.43965517241379315,0.4358060536663353
33,0.8261478353978435,0.5286723887637418,0.97079754601227,0.7303217985768667,0.6036036036036037,0.47183098591549294,0.5296442687747035,0.518970739261088
34,0.8160992397302707,0.4716610033313733,0.9651533742331289,0.7341858166543118,0.5,0.4859154929577465,0.4928571428571429,0.47486972156621543
35,0.7988248586356684,0.45045481682380434,0.9700613496932515,0.6688484581529348,0.6282051282051282,0.34507042253521125,0.44545454545454544,0.45197963260368107
36,0.8195102473472925,0.4768497091776779,0.9698159509202454,0.6992673048205327,0.5979381443298969,0.4084507042253521,0.4853556485355649,0.4794617115275222
37,0.8214726958240672,0.5350100665611425,0.9761963190184049,0.7229366537388583,0.7710843373493976,0.4507042253521127,0.5688888888888889,0.5788730175397869
38,0.8350003402054841,0.5088164740518086,0.974478527607362,0.7084707584433629,0.7317073170731707,0.4225352112676056,0.5357142857142857,0.5445336294504776
39,0.7991659593973707,0.455603129073694,0.9673619631901841,0.7251479893855889,0.5365853658536586,0.4647887323943662,0.4981132075471698,0.4826620913828553
40,0.835649416458067,0.4727419046534651,0.9717791411042945,0.6833143534484302,0.6708860759493671,0.3732394366197183,0.4796380090497738,0.4876478648754523
41,0.8392618615327868,0.4496240253380208,0.9666257668711656,0.7315545958179793,0.5230769230769231,0.4788732394366197,0.5,0.4832750409282631
42,0.841082856150378,0.5047745779847617,0.9720245398773006,0.7173814562943386,0.6428571428571429,0.44366197183098594,0.525,0.5204365648039185
43,0.828196230523236,0.45481972123530257,0.9668711656441717,0.7214997332072782,0.5284552845528455,0.45774647887323944,0.4905660377358491,0.4748411245524203
44,0.8075117370892019,0.4557807475481664,0.9693251533742331,0.7125890353563026,0.5794392523364486,0.43661971830985913,0.497991967871486,0.48763995414766215
45,0.7781860243587126,0.4372642683425045,0.9671165644171779,0.7148388679393933,0.5338983050847458,0.44366197183098594,0.48461538461538467,0.4699211235351749
46,0.8341095390036635,0.5193036595489129,0.9730061349693252,0.7043139845940632,0.686046511627907,0.4154929577464789,0.5175438596491229,0.5213783470968792
47,0.8440891982968239,0.47304519498984265,0.9683435582822086,0.7052925229996813,0.5607476635514018,0.4225352112676056,0.4819277108433735,0.470903103420355
48,0.8000952575355514,0.44758400695283895,0.9712883435582822,0.7102120733554647,0.6288659793814433,0.4295774647887324,0.510460251046025,0.5057961744679289
49,0.8079969775428569,0.5039656787533661,0.9688343558282209,0.7360927579205209,0.5609756097560976,0.4859154929577465,0.5207547169811321,0.5061249918741606
